,country,description,designation,points,price,province,region_1,taster_name,title,variety,winery
35828,US,,,88,27.0,,,,,Sparkling Blend,
35829,US,,,88,30.0,,,,,Merlot,
35830,US,,,88,16.0,,,,,Riesling,
35832,US,,,88,26.0,,,,,Merlot,
35833,US,,,88,28.0,,,,,Chardonnay,
35862,France,,,92,100.0,,,,,Bordeaux-style Red Blend,
35865,US,,,87,25.0,,,,,Grenache,
35866,US,,,87,26.0,,,,,Petite Sirah,
35867,US,,,87,15.0,,,,,Pinot Blanc,
35868,US,,,87,14.0,,,,,Chardonnay,
35869,US,,,87,17.0,,,,,Pinot Gris,
35870,US,,,87,45.0,,,,,Petit Verdot,
35872,US,,,87,17.0,,,,,Pinot Noir,
35875,US,,,87,43.0,,,,,Pinot Noir,
35876,US,,,87,30.0,,,,,Merlot,
35877,France,,,87,28.0,,,,,Rhône-style White Blend,
35880,US,,,87,39.0,,,,,Chardonnay,
35882,US,,,87,48.0,,,,,Zinfandel,
35883,US,,,87,18.0,,,,,Chardonnay,
35884,US,,,87,22.0,,,,,Pinot Noir,
35886,US,,,87,85.0,,,,,Cabernet Sauvignon-Carmenère,
35887,US,,,87,12.0,,,,,Pinot Blanc,
35888,US,,,87,24.0,,,,,Zinfandel,
35890,US,,,91,30.0,,,,,Chardonnay,
35892,US,,,91,42.0,,,,,Pinot Noir,
35894,US,,,91,30.0,,,,,Sauvignon Blanc,
35895,US,,,91,125.0,,,,,Bordeaux-style Red Blend,
35897,US,,,91,75.0,,,,,Cabernet Sauvignon,
35898,US,,,91,37.0,,,,,Syrah,
35899,US,,,91,30.0,,,,,Pinot Noir,
35900,US,,,91,65.0,,,,,Pinot Noir,
35901,US,,,91,70.0,,,,,Grenache-Syrah,
35902,US,,,91,19.0,,,,,Sauvignon Blanc,
35906,US,,,91,35.0,,,,,Chardonnay,
35909,US,,,91,46.0,,,,,Rhône-style Red Blend,
35910,US,,,91,24.0,,,,,Riesling,
35911,US,,,91,50.0,,,,,Chardonnay,
35914,US,,,91,54.0,,,,,Sangiovese,
35915,US,,,91,80.0,,,,,Cabernet Sauvignon,
35916,US,,,91,28.0,,,,,Pinot Gris,
35918,France,,,91,80.0,,,,,Champagne Blend,
35919,US,,,91,75.0,,,,,Cabernet Sauvignon,
35920,US,,,91,48.0,,,,,Zinfandel,
35921,US,,,91,24.0,,,,,Pinot Noir,
35922,US,,,91,32.0,,,,,Sangiovese,
35923,France,,,91,50.0,,,,,Sauvignon Blanc,
35924,France,,,91,50.0,,,,,Sauvignon Blanc,
35927,US,,,91,14.0,,,,,Cabernet Sauvignon-Syrah,
35928,France,,,91,55.0,,,,,Rhône-style Red Blend,
35929,US,,,91,50.0,,,,,Pinot Noir,
35930,France,,,91,40.0,,,,,Chardonnay,
35931,France,,,91,65.0,,,,,Sauvignon Blanc,
35932,US,,,91,35.0,,,,,Chardonnay,
35934,US,,,91,25.0,,,,,Chardonnay,
35935,France,,,91,108.0,,,,,Rhône-style White Blend,
35937,US,,,91,50.0,,,,,Chardonnay,
35939,US,,,91,36.0,,,,,Carmenère,
35940,US,,,91,16.0,,,,,Syrah,
35941,US,,,91,98.0,,,,,Cabernet Sauvignon,
35942,US,,,91,48.0,,,,,Sauvignon Blanc,
35943,France,,,91,25.0,,,,,Sauvignon Blanc,
35944,France,,,91,24.0,,,,,Sauvignon Blanc,
35945,US,,,91,60.0,,,,,Rhône-style Red Blend,
35946,US,,,91,35.0,,,,,Syrah,
35947,US,,,91,35.0,,,,,Chardonnay,
35948,US,,,91,40.0,,,,,Chardonnay,
35949,US,,,94,64.0,,,,,Cabernet Sauvignon,
35950,US,,,94,59.0,,,,,Cabernet Sauvignon,
35954,US,,,94,35.0,,,,,Syrah,
35955,US,,,94,38.0,,,,,Syrah,
35956,US,,,94,60.0,,,,,Cabernet Sauvignon-Syrah,
35957,US,,,94,75.0,,,,,Cabernet Sauvignon,
35958,US,,,94,70.0,,,,,Syrah,
35959,US,,,93,49.0,,,,,Pinot Noir,
35960,US,,,93,55.0,,,,,Cabernet Sauvignon-Syrah,
35961,US,,,93,50.0,,,,,Viognier,
35962,US,,,93,65.0,,,,,Cabernet Sauvignon,
35963,US,,,93,27.0,,,,,Sauvignon Blanc,
35964,US,,,93,45.0,,,,,Syrah,
35965,US,,,93,35.0,,,,,Zinfandel,
35966,US,,,93,36.0,,,,,Red Blend,
35967,US,,,93,46.0,,,,,Pinot Noir,
35971,US,,,92,65.0,,,,,Bordeaux-style Red Blend,
35975,US,,,91,100.0,,,,,Cabernet Sauvignon,
35976,US,,,91,50.0,,,,,Chardonnay,
35977,US,,,91,50.0,,,,,Pinot Noir,
35979,France,,,91,29.0,,,,,Rosé,
35980,US,,,91,55.0,,,,,Pinot Noir,
35981,US,,,91,18.0,,,,,Red Blend,
35982,US,,,91,34.0,,,,,Syrah,
35984,US,,,91,32.0,,,,,Merlot,
35985,US,,,91,62.0,,,,,Chardonnay,
35986,US,,,91,45.0,,,,,Chardonnay,
35987,US,,,91,25.0,,,,,Chardonnay,
35989,US,,,91,40.0,,,,,Red Blend,
35990,US,,,91,70.0,,,,,Cabernet Sauvignon,
35991,US,,,91,75.0,,,,,Cabernet Sauvignon,
35992,US,,,91,55.0,,,,,Rhône-style Red Blend,
35993,US,,,91,38.0,,,,,Grenache,
35994,France,,,91,14.0,,,,,Rosé,
35995,US,,,91,24.0,,,,,Grenache,
35998,US,,,91,39.0,,,,,Cabernet Sauvignon,
35999,US,,,91,44.0,,,,,Chardonnay,
36000,France,,,91,52.0,,,,,Rosé,
36004,US,,,88,16.0,,,,,Rosé,
36005,US,,,88,45.0,,,,,Bordeaux-style Red Blend,
36007,US,,,88,18.0,,,,,Sauvignon Blanc,
36009,US,,,88,32.0,,,,,Red Blend,
36012,US,,,88,39.0,,,,,Mourvèdre,
36015,US,,,88,55.0,,,,,Bordeaux-style Red Blend,
36021,France,,,88,14.0,,,,,Malbec,
36023,US,,,88,24.0,,,,,Viognier,
36026,France,,,88,14.0,,,,,Bordeaux-style Red Blend,
36030,France,,,86,18.0,,,,,Pinot Gris,
36035,US,,,86,19.0,,,,,Chardonnay,
36039,US,,,86,19.0,,,,,Cabernet Sauvignon,
36040,US,,,86,65.0,,,,,Pinot Noir,
36041,US,,,86,25.0,,,,,Merlot,
36042,US,,,86,14.0,,,,,Cabernet Sauvignon,
36044,US,,,86,32.0,,,,,Sangiovese,
36051,US,,,86,19.0,,,,,Sauvignon Blanc,
36052,US,,,86,58.0,,,,,Petite Sirah,
36054,US,,,86,16.0,,,,,Sauvignon Blanc,
36055,US,,,90,19.0,,,,,Pinot Gris,
36056,US,,,90,22.0,,,,,Auxerrois,
36058,US,,,90,35.0,,,,,Pinot Noir,
36059,US,,,90,45.0,,,,,Pinot Noir,
36060,US,,,90,40.0,,,,,Pinot Noir,
36063,France,,,90,11.0,,,,,Malbec,
36066,France,,,90,18.0,,,,,Malbec,
36067,US,,,90,35.0,,,,,Pinot Noir,
36072,US,,,89,35.0,,,,,Chardonnay,
36073,US,,,89,28.0,,,,,Pinot Noir,
36074,US,,,89,26.0,,,,,Petite Sirah,
36075,France,,,89,17.0,,,,,Bordeaux-style Red Blend,
36077,France,,,89,70.0,,,,,Malbec,
36085,US,,,88,35.0,,,,,Merlot,
36086,France,,,88,55.0,,,,,Champagne Blend,
36087,US,,,88,18.0,,,,,Riesling,
36089,US,,,88,44.0,,,,,Red Blend,
36090,US,,,88,36.0,,,,,Pinot Noir,
36091,US,,,88,24.0,,,,,Merlot,
36093,US,,,88,20.0,,,,,Sangiovese,
36094,US,,,88,22.0,,,,,Merlot,
36096,US,,,88,35.0,,,,,Cabernet Sauvignon,
36097,US,,,87,75.0,,,,,Pinot Noir,
36098,France,,,87,50.0,,,,,Champagne Blend,
36100,US,,,87,24.0,,,,,Syrah,
36102,US,,,87,40.0,,,,,Pinot Noir,
36103,US,,,87,50.0,,,,,Cabernet Sauvignon,
36104,France,,,87,55.0,,,,,Champagne Blend,
36105,France,,,89,22.0,,,,,Gewürztraminer,
36106,US,,,89,25.0,,,,,Chenin Blanc,
36107,US,,,89,28.0,,,,,Grenache,
36109,US,,,89,30.0,,,,,Viognier,
36118,France,,,89,24.0,,,,,Gewürztraminer,
36119,France,,,89,46.0,,,,,Sauvignon Blanc,
36124,US,,,89,45.0,,,,,Rhône-style Red Blend,
36126,France,,,89,13.0,,,,,Rosé,
36127,US,,,89,12.0,,,,,Rosé,
36129,France,,,89,30.0,,,,,Bordeaux-style White Blend,
36133,US,,,89,22.0,,,,,Viognier,
36134,US,,,89,30.0,,,,,Red Blend,
36136,US,,,92,30.0,,,,,Merlot,
36138,US,,,92,43.0,,,,,Red Blend,
36139,US,,,92,40.0,,,,,Cabernet Sauvignon,
36140,US,,,92,27.0,,,,,Pinot Noir,
36141,US,,,92,26.0,,,,,Bordeaux-style Red Blend,
36142,US,,,92,60.0,,,,,Pinot Noir,
36144,US,,,92,52.0,,,,,Pinot Noir,
36145,US,,,92,36.0,,,,,Monastrell,
36147,US,,,92,48.0,,,,,Bordeaux-style Red Blend,
36149,US,,,92,44.0,,,,,Pinot Noir,
36152,US,,,92,45.0,,,,,Pinot Noir,
36153,US,,,92,25.0,,,,,Pinot Noir,
36154,US,,,92,60.0,,,,,Red Blend,
36155,US,,,92,38.0,,,,,Chardonnay,
36156,US,,,92,57.0,,,,,Pinot Noir,
36157,US,,,92,40.0,,,,,Pinot Noir,
36158,US,,,92,26.0,,,,,Malvasia Bianca,
36159,US,,,92,45.0,,,,,Pinot Noir,
36160,France,,,92,75.0,,,,,Pinot Noir,
36161,US,,,92,40.0,,,,,Chardonnay,
36162,US,,,92,45.0,,,,,Syrah,
36165,US,,,88,20.0,,,,,Zinfandel,
36166,US,,,88,32.0,,,,,Chardonnay,
36169,US,,,88,22.0,,,,,Sauvignon Blanc,
36171,US,,,88,41.0,,,,,Viognier,
36172,US,,,88,50.0,,,,,Cabernet Sauvignon,
36175,US,,,88,17.0,,,,,Cabernet Franc,
36180,US,,,88,19.0,,,,,Gewürztraminer,
36182,France,,,88,23.0,,,,,Chardonnay,
36184,France,,,88,45.0,,,,,Chardonnay,
36185,France,,,88,30.0,,,,,Pinot Noir,
36186,France,,,88,25.0,,,,,Pinot Noir,
36187,France,,,88,28.0,,,,,Chardonnay,
36188,US,,,88,36.0,,,,,Cabernet Sauvignon,
36190,France,,,88,22.0,,,,,Pinot Noir,
36191,US,,,88,20.0,,,,,Chardonnay,
36193,US,,,80,12.0,,,,,Chardonnay,
36195,US,,,80,10.0,,,,,Cabernet Sauvignon,
36197,France,,,96,79.0,,,,,Champagne Blend,
36198,US,,,96,48.0,,,,,Pinot Noir,
36200,France,,,96,595.0,,,,,Champagne Blend,
36201,US,,,96,85.0,,,,,Pinot Noir,
36202,France,,,95,130.0,,,,,Champagne Blend,
36204,France,,,95,85.0,,,,,Chardonnay,
36205,France,,,95,150.0,,,,,Champagne Blend,
36207,US,,,95,54.0,,,,,Pinot Noir,
36208,US,,,95,32.0,,,,,Riesling,
36209,US,,,95,200.0,,,,,Cabernet Sauvignon,
36210,France,,,95,249.0,,,,,Champagne Blend,
36211,France,,,95,275.0,,,,,Champagne Blend,
36214,US,,,95,32.0,,,,,Fumé Blanc,
36217,France,,,94,105.0,,,,,Champagne Blend,
36219,US,,,94,175.0,,,,,Bordeaux-style Red Blend,
36220,US,,,94,200.0,,,,,Cabernet Sauvignon,
36222,US,,,94,88.0,,,,,Cabernet Sauvignon,
36225,US,,,92,35.0,,,,,Chardonnay,
36228,US,,,92,50.0,,,,,Pinot Noir,
36229,US,,,92,24.0,,,,,G-S-M,
36230,US,,,92,42.0,,,,,Grenache,
36234,France,,,92,18.0,,,,,Malbec,
36235,France,,,92,20.0,,,,,White Blend,
36236,US,,,92,70.0,,,,,Bordeaux-style Red Blend,
36237,US,,,92,52.0,,,,,Syrah,
36238,France,,,92,20.0,,,,,Rhône-style Red Blend,
36241,US,,,92,50.0,,,,,Zinfandel,
36242,US,,,92,40.0,,,,,Zinfandel,
36243,US,,,92,38.0,,,,,Chardonnay,
36245,US,,,92,35.0,,,,,Sauvignon Blanc,
36247,US,,,92,85.0,,,,,Pinot Noir,
36248,US,,,92,48.0,,,,,Pinot Noir,
36249,US,,,92,15.0,,,,,Gewürztraminer,
36250,US,,,92,125.0,,,,,Cabernet Sauvignon,
36251,US,,,92,28.0,,,,,Rhône-style White Blend,
36253,France,,,87,15.0,,,,,Bordeaux-style Red Blend,
36254,France,,,87,40.0,,,,,Bordeaux-style Red Blend,
36257,US,,,87,32.0,,,,,Red Blend,
36258,US,,,87,25.0,,,,,Zinfandel,
36259,US,,,87,18.0,,,,,Cabernet Sauvignon,
36260,US,,,87,44.0,,,,,Bordeaux-style Red Blend,
36262,US,,,87,95.0,,,,,Cabernet Franc,
36263,US,,,87,40.0,,,,,Pinot Noir,
36268,US,,,87,35.0,,,,,Zinfandel,
36269,US,,,87,48.0,,,,,Pinot Noir,
36272,France,,,87,20.0,,,,,Bordeaux-style Red Blend,
36273,US,,,87,30.0,,,,,Syrah,
36278,US,,,87,15.0,,,,,Cabernet Sauvignon,
36284,US,,,91,24.0,,,,,Fiano,
36289,US,,,90,40.0,,,,,Chardonnay,
36291,US,,,90,40.0,,,,,Cabernet Sauvignon,
36292,US,,,90,29.0,,,,,Syrah,
36293,US,,,90,28.0,,,,,Cabernet Sauvignon,
36296,US,,,90,19.0,,,,,Zinfandel,
36298,US,,,90,32.0,,,,,Merlot,
36301,France,,,90,24.0,,,,,Bordeaux-style Red Blend,
36302,France,,,90,15.0,,,,,Bordeaux-style Red Blend,
36305,US,,,90,50.0,,,,,Cabernet Sauvignon,
36307,France,,,87,17.0,,,,,Chardonnay,
36309,US,,,87,60.0,,,,,Pinot Noir,
36310,US,,,87,25.0,,,,,Chardonnay,
36311,France,,,87,28.0,,,,,Chardonnay,
36312,France,,,87,35.0,,,,,Chardonnay,
36313,France,,,87,20.0,,,,,Chardonnay,
36314,US,,,87,13.0,,,,,Rosé,
36317,US,,,87,29.0,,,,,Syrah,
36318,US,,,87,30.0,,,,,Zinfandel,
36319,US,,,87,25.0,,,,,Cabernet Franc,
36320,US,,,87,30.0,,,,,Pinot Noir,
36321,France,,,87,30.0,,,,,Chardonnay,
36323,US,,,87,30.0,,,,,Chardonnay,
36325,US,,,87,18.0,,,,,Zinfandel,
36330,US,,,87,34.0,,,,,White Blend,
36334,US,,,87,48.0,,,,,Pinot Noir,
36336,France,,,87,33.0,,,,,Pinot Noir,
36337,US,,,88,20.0,,,,,Red Blend,
36340,US,,,88,32.0,,,,,Cabernet Sauvignon,
36341,US,,,88,28.0,,,,,Malbec,
36345,US,,,88,13.0,,,,,Riesling,
36346,US,,,88,18.0,,,,,Vermentino,
36347,US,,,88,24.0,,,,,Merlot,
36351,US,,,88,18.0,,,,,Pinot Gris,
36352,US,,,88,20.0,,,,,Red Blend,
36354,France,,,88,13.0,,,,,Rosé,
36356,US,,,88,38.0,,,,,Malbec,
36357,US,,,88,20.0,,,,,Chardonnay,
36359,France,,,87,16.0,,,,,White Blend,
36360,France,,,87,18.0,,,,,Syrah,
36361,France,,,87,18.0,,,,,Viognier,
36362,US,,,87,48.0,,,,,Merlot,
36365,US,,,88,60.0,,,,,Pinot Noir,
36368,France,,,88,12.0,,,,,Melon,
36373,US,,,88,22.0,,,,,Pinot Noir,
36378,US,,,88,34.0,,,,,Syrah,
36380,US,,,88,20.0,,,,,Pinot Gris,
36382,France,,,88,25.0,,,,,Gamay,
36383,US,,,88,30.0,,,,,Grenache,
36387,US,,,88,34.0,,,,,Pinot Noir,
36388,US,,,88,25.0,,,,,Pinot Noir,
36390,US,,,88,42.0,,,,,Cabernet Franc,
36391,US,,,88,60.0,,,,,Cabernet Sauvignon,
36393,France,,,88,32.0,,,,,Sauvignon Blanc,
36394,France,,,87,11.0,,,,,Red Blend,
36398,US,,,87,15.0,,,,,Chardonnay,
36399,US,,,87,22.0,,,,,Garnacha,
36400,France,,,87,11.0,,,,,Rosé,
36401,US,,,87,50.0,,,,,Syrah,
36402,US,,,87,38.0,,,,,Chardonnay,
36403,US,,,87,42.0,,,,,Pinot Noir,
36404,US,,,87,48.0,,,,,Pinot Noir,
36405,US,,,87,50.0,,,,,Pinot Noir,
36407,US,,,87,13.0,,,,,Pinot Gris,
36410,US,,,87,13.0,,,,,Chardonnay,
36411,US,,,87,14.0,,,,,Riesling,
36412,US,,,87,19.0,,,,,Cabernet Sauvignon,
36414,US,,,87,24.0,,,,,Cabernet Sauvignon,
36415,US,,,87,10.0,,,,,Sauvignon Blanc,
36417,US,,,87,17.0,,,,,Pinot Gris,
36418,US,,,87,12.0,,,,,Pinot Grigio,
36419,US,,,87,9.0,,,,,Red Blend,
36420,US,,,87,35.0,,,,,Cabernet Sauvignon,
36425,US,,,88,38.0,,,,,Mourvèdre,
36426,US,,,88,15.0,,,,,Merlot,
36427,US,,,88,35.0,,,,,Chardonnay,
36428,France,,,88,18.0,,,,,Provence red blend,
36429,France,,,88,19.0,,,,,Provence red blend,
36430,France,,,88,15.0,,,,,Rosé,
36432,France,,,88,25.0,,,,,Riesling,
36434,US,,,88,70.0,,,,,Cabernet Sauvignon,
36435,France,,,88,25.0,,,,,Pinot Gris,
36437,US,,,88,19.0,,,,,Rhône-style White Blend,
36438,US,,,88,52.0,,,,,Pinot Noir,
36439,US,,,88,21.0,,,,,Sauvignon Blanc,
36440,US,,,88,25.0,,,,,Cabernet Sauvignon,
36441,US,,,88,42.0,,,,,Syrah,
36443,US,,,88,16.0,,,,,Sauvignon Blanc,
36444,US,,,88,45.0,,,,,Cabernet Sauvignon,
36445,US,,,88,26.0,,,,,Rosé,
36446,US,,,88,35.0,,,,,Malbec,
36447,US,,,88,10.0,,,,,Pinot Grigio,
36448,US,,,88,90.0,,,,,Cabernet Franc,
36451,US,,,88,55.0,,,,,Cabernet Sauvignon,
36452,US,,,88,24.0,,,,,Grenache,
36453,US,,,85,22.0,,,,,Cabernet Sauvignon,
36454,US,,,85,28.0,,,,,Red Blend,
36455,US,,,85,16.0,,,,,Red Blend,
36456,France,,,85,11.0,,,,,Pinot Noir,
36457,France,,,85,18.0,,,,,Sauvignon Blanc,
36458,US,,,85,15.0,,,,,Cabernet Sauvignon,
36460,France,,,85,10.0,,,,,Sauvignon Blanc,
36461,France,,,85,15.0,,,,,Rosé,
36462,France,,,85,11.0,,,,,Malbec,
36464,US,,,85,20.0,,,,,Sauvignon Blanc,
36465,US,,,85,21.0,,,,,White Blend,
36467,US,,,85,34.0,,,,,Chardonnay,
36469,US,,,85,28.0,,,,,Viognier,
36470,France,,,85,15.0,,,,,Rosé,
36471,US,,,85,9.0,,,,,Riesling,
36472,France,,,85,14.0,,,,,Rosé,
36473,US,,,85,14.0,,,,,Gewürztraminer,
36474,US,,,85,10.0,,,,,Red Blend,
36476,US,,,85,13.0,,,,,Red Blend,
36477,France,,,85,19.0,,,,,Provence red blend,
36478,France,,,85,15.0,,,,,Cabernet Sauvignon,
36479,France,,,85,25.0,,,,,Rosé,
36480,US,,,85,25.0,,,,,Zinfandel,
36482,US,,,85,17.0,,,,,Rosé,
36484,US,,,95,75.0,,,,,Cabernet Sauvignon,
36485,US,,,95,105.0,,,,,Cabernet Sauvignon,
36487,US,,,95,75.0,,,,,Bordeaux-style Red Blend,
36489,US,,,94,45.0,,,,,Chardonnay,
36492,US,,,94,60.0,,,,,Meritage,
36494,US,,,94,85.0,,,,,Pinot Noir,
36495,US,,,94,85.0,,,,,Merlot,
36496,US,,,94,85.0,,,,,Merlot,
36500,US,,,93,125.0,,,,,Bordeaux-style Red Blend,
36503,US,,,93,40.0,,,,,Sauvignon Blanc,
36505,France,,,83,14.0,,,,,Chenin Blanc,
36508,France,,,83,8.0,,,,,Red Blend,
36510,US,,,83,25.0,,,,,Rosé,
36511,US,,,83,40.0,,,,,Rosé,
36512,US,,,83,40.0,,,,,Cabernet Sauvignon,
36514,US,,,82,12.0,,,,,Sparkling Blend,
36519,France,,,82,20.0,,,,,Chardonnay,
36526,France,,,80,11.0,,,,,Rosé,
36528,France,,,100,259.0,,,,,Champagne Blend,
36529,France,,,99,800.0,,,,,Chardonnay,
36530,France,,,98,520.0,,,,,Chardonnay,
36532,France,,,97,95.0,,,,,Champagne Blend,
36536,US,,,85,19.0,,,,,Sauvignon Blanc,
36537,US,,,85,15.0,,,,,Chardonnay,
36538,US,,,85,11.0,,,,,Pinot Noir,
36540,US,,,85,11.0,,,,,Cabernet Sauvignon,
36542,US,,,85,10.0,,,,,Riesling,
36543,US,,,85,14.0,,,,,Sauvignon Blanc,
36544,US,,,84,15.0,,,,,Sauvignon Blanc,
36546,US,,,84,40.0,,,,,Pinot Noir,
36547,US,,,84,18.0,,,,,Pinot Noir,
36548,France,,,84,15.0,,,,,Rosé,
36549,France,,,84,18.0,,,,,Alsace white blend,
36550,US,,,84,29.0,,,,,Red Blend,
36553,US,,,84,15.0,,,,,Riesling,
36554,US,,,84,20.0,,,,,Chardonnay,
36555,France,,,90,22.0,,,,,Gamay,
36556,US,,,90,34.0,,,,,Cabernet Sauvignon,
36558,US,,,90,20.0,,,,,Petite Sirah,
36559,US,,,90,75.0,,,,,Cabernet Sauvignon,
36561,France,,,90,40.0,,,,,Syrah,
36563,US,,,90,36.0,,,,,Chardonnay,
36564,France,,,90,15.0,,,,,Gamay,
36565,US,,,90,55.0,,,,,Red Blend,
36566,US,,,90,55.0,,,,,Red Blend,
36568,France,,,90,25.0,,,,,Gamay,
36569,France,,,90,37.0,,,,,Syrah,
36570,US,,,90,20.0,,,,,Cabernet Sauvignon,
36571,US,,,90,13.0,,,,,Riesling,
36572,US,,,90,21.0,,,,,Viognier,
36573,France,,,90,18.0,,,,,G-S-M,
36576,US,,,90,22.0,,,,,Sauvignon Blanc,
36577,US,,,90,20.0,,,,,Chardonnay,
36578,France,,,90,13.0,,,,,Red Blend,
36579,France,,,90,25.0,,,,,Rhône-style Red Blend,
36580,France,,,90,40.0,,,,,Rhône-style Red Blend,
36581,US,,,90,30.0,,,,,Zinfandel,
36582,US,,,90,34.0,,,,,Chardonnay,
36584,US,,,90,36.0,,,,,Bordeaux-style Red Blend,
36585,US,,,92,150.0,,,,,Bordeaux-style Red Blend,
36588,US,,,92,65.0,,,,,Red Blend,
36589,US,,,92,62.0,,,,,Chardonnay,
36590,US,,,92,39.0,,,,,Pinot Noir,
36591,US,,,92,140.0,,,,,Cabernet Sauvignon,
36593,US,,,92,36.0,,,,,Roussanne-Viognier,
36598,US,,,92,89.0,,,,,Bordeaux-style Red Blend,
36599,US,,,92,75.0,,,,,Chardonnay,
36601,US,,,92,25.0,,,,,Chardonnay,
36602,US,,,92,50.0,,,,,Red Blend,
36603,US,,,92,100.0,,,,,Cabernet Blend,
36604,France,,,92,59.0,,,,,Rosé,
36605,US,,,92,28.0,,,,,Zinfandel,
36606,France,,,92,25.0,,,,,Rosé,
36607,US,,,92,48.0,,,,,Pinot Noir,
36608,US,,,92,46.0,,,,,Syrah,
36609,France,,,92,35.0,,,,,Rosé,
36610,US,,,92,50.0,,,,,Zinfandel,
36611,US,,,92,37.0,,,,,Chardonnay,
36614,US,,,92,28.0,,,,,Cabernet Sauvignon,
36616,US,,,91,20.0,,,,,Chardonnay,
36617,US,,,91,50.0,,,,,Syrah,
36618,US,,,91,40.0,,,,,Cabernet Sauvignon,
36619,US,,,91,70.0,,,,,Cabernet Sauvignon,
36620,US,,,91,68.0,,,,,Merlot,
36621,US,,,91,30.0,,,,,Muscat Canelli,
36622,US,,,91,32.0,,,,,Cabernet Sauvignon,
36627,US,,,91,35.0,,,,,Rhône-style Red Blend,
36628,US,,,91,40.0,,,,,Chardonnay,
36630,US,,,91,48.0,,,,,Mourvèdre,
36631,US,,,91,25.0,,,,,Cabernet Sauvignon,
36632,US,,,91,18.0,,,,,Zinfandel,
36634,US,,,91,32.0,,,,,Chardonnay,
36635,US,,,91,18.0,,,,,Zinfandel,
36636,US,,,91,35.0,,,,,Malbec,
36637,US,,,91,23.0,,,,,Red Blend,
36638,France,,,91,80.0,,,,,Bordeaux-style Red Blend,
36639,US,,,91,60.0,,,,,Cabernet Sauvignon,
36643,US,,,91,35.0,,,,,Cabernet Franc,
36646,US,,,93,60.0,,,,,Chardonnay,
36648,US,,,92,85.0,,,,,Cabernet Sauvignon,
36649,US,,,92,60.0,,,,,Cabernet Sauvignon,
36653,US,,,92,60.0,,,,,Pinot Noir,
36659,France,,,92,67.0,,,,,Bordeaux-style Red Blend,
36660,US,,,92,60.0,,,,,Pinot Noir,
36661,US,,,92,65.0,,,,,Pinot Noir,
36663,US,,,92,50.0,,,,,Cabernet Sauvignon,
36664,France,,,92,25.0,,,,,Gamay,
36665,US,,,92,55.0,,,,,Pinot Noir,
36666,US,,,92,70.0,,,,,Pinot Noir,
36667,US,,,92,28.0,,,,,Pinot Gris,
36668,US,,,92,95.0,,,,,Bordeaux-style Red Blend,
36670,US,,,92,43.0,,,,,Pinot Noir,
36671,US,,,92,65.0,,,,,Pinot Noir,
36672,US,,,92,46.0,,,,,Zinfandel,
36674,US,,,92,130.0,,,,,Cabernet Sauvignon,
36675,France,,,91,39.0,,,,,Pinot Noir,
36676,US,,,91,48.0,,,,,Pinot Noir,
36682,US,,,91,35.0,,,,,Cabernet Sauvignon,
36683,US,,,91,35.0,,,,,Syrah,
36690,France,,,91,45.0,,,,,Chardonnay,
36691,US,,,91,65.0,,,,,Syrah,
36692,US,,,91,45.0,,,,,Pinot Noir,
36694,US,,,91,55.0,,,,,Cabernet Sauvignon,
36695,US,,,91,55.0,,,,,Pinot Noir,
36698,France,,,91,85.0,,,,,Chardonnay,
36699,US,,,91,29.0,,,,,Sparkling Blend,
36703,US,,,91,85.0,,,,,Pinot Noir,
36706,US,,,84,18.0,,,,,Cabernet Sauvignon,
36707,US,,,84,24.0,,,,,Merlot,
36711,US,,,84,12.0,,,,,Tempranillo,
36714,US,,,84,14.0,,,,,Shiraz,
36715,US,,,84,35.0,,,,,Chardonnay,
36716,US,,,84,18.0,,,,,Syrah,
36718,US,,,84,11.0,,,,,Red Blend,
36719,US,,,84,27.0,,,,,Zinfandel,
36722,US,,,84,28.0,,,,,Petite Sirah,
36723,US,,,84,29.0,,,,,Merlot,
36725,US,,,84,14.0,,,,,Pinot Noir,
36728,France,,,86,14.0,,,,,Gewürztraminer,
36729,US,,,86,12.0,,,,,Chardonnay,
36730,US,,,86,39.0,,,,,Cabernet Sauvignon,
36735,US,,,86,40.0,,,,,Cabernet Sauvignon,
36736,US,,,86,30.0,,,,,Pinot Noir,
36737,France,,,85,14.0,,,,,Gamay,
36738,US,,,85,22.0,,,,,Chardonnay,
36739,US,,,85,10.0,,,,,Sauvignon Blanc,
36740,US,,,85,20.0,,,,,Red Blend,
36741,US,,,85,20.0,,,,,Red Blend,
36742,US,,,85,20.0,,,,,Syrah,
36743,US,,,85,13.0,,,,,Chardonnay,
36744,US,,,85,16.0,,,,,Chardonnay,
36745,US,,,85,28.0,,,,,Grenache,
36748,US,,,85,8.0,,,,,Chenin Blanc,
36750,US,,,85,26.0,,,,,Grenache-Syrah,
36752,US,,,85,38.0,,,,,Malbec,
36754,US,,,85,18.0,,,,,Chardonnay,
36755,US,,,85,16.0,,,,,Merlot,
36757,US,,,86,15.0,,,,,Chardonnay,
36758,France,,,86,32.0,,,,,Bordeaux-style Red Blend,
36759,US,,,86,45.0,,,,,Pinot Noir,
36760,US,,,86,35.0,,,,,Pinot Noir,
36761,US,,,86,35.0,,,,,Pinot Noir,
36762,US,,,86,22.0,,,,,Viognier,
36763,US,,,86,10.0,,,,,Pinot Grigio,
36768,US,,,86,18.0,,,,,Pinot Noir,
